airport,text,x_min,y_min,x_max,y_max,page_height,page_width,is_known_runway
21d,W,56.8333,412.5932,62.4853,417.4478,594.0000,387.3600,0
21d,B,234.9429,365.9643,242.7454,373.5455,594.0000,387.3600,0
21d,A,138.9066,229.1492,146.6794,236.8215,594.0000,387.3600,0
21d,B1,273.9716,387.7330,284.4383,397.8923,594.0000,387.3600,0
21d,B,189.7778,310.4380,197.5793,318.0245,594.0000,387.3600,0
21d,H,253.6084,401.6417,260.2980,407.9599,594.0000,387.3600,0
21d,G,208.3050,308.5142,216.0638,316.2102,594.0000,387.3600,0
21d,E,207.1367,182.2656,214.9093,189.9375,594.0000,387.3600,0
21d,B,137.0088,246.0205,144.8138,253.5843,594.0000,387.3600,0
21d,E,115.9472,281.8044,123.7186,289.4793,594.0000,387.3600,0
21d,D,227.9266,270.0888,235.7292,277.6693,594.0000,387.3600,0
21d,F,283.8610,146.3018,291.6329,153.9759,594.0000,387.3600,0
21d,F1,327.7017,112.7204,337.6747,122.5932,594.0000,387.3600,0
21d,F2,249.7865,166.1825,259.7633,176.0563,594.0000,387.3600,0
21d,D,199.9124,235.1828,207.6580,242.8969,594.0000,387.3600,0
21d,G,228.1946,286.0042,236.1203,294.0892,594.0000,387.3600,0
21d,C,149.1311,354.7990,156.9664,362.7289,594.0000,387.3600,0
21d,A,159.0607,208.5890,166.8221,216.2807,594.0000,387.3600,0
21d,E,154.1414,240.0219,161.9048,247.7103,594.0000,387.3600,0
21d,A2,78.2509,310.2424,89.2516,321.0604,594.0000,387.3600,0
21d,B,162.2182,277.6737,170.0178,285.2672,594.0000,387.3600,0
21d,B,285.0223,427.6989,292.8257,435.2751,594.0000,387.3600,0
21d,A,88.9943,284.5221,96.7671,292.1941,594.0000,387.3600,0
21d,A1,65.3214,326.5772,76.4317,337.3997,594.0000,387.3600,0
21d,4,151.1491,208.5537,159.0751,216.6387,594.0000,387.3600,1
21d,22,291.3137,382.5293,301.9829,392.8547,594.0000,387.3600,1
21d,14,129.0674,345.0978,139.5081,355.3994,594.0000,387.3600,1
21d,32,340.0895,114.8727,350.5305,125.1742,594.0000,387.3600,1
21d,"NC-1,",5.0000,340.1742,12.8120,358.4512,594.0000,387.3600,0
21d,19,5.0000,328.4982,12.8120,336.2822,594.0000,387.3600,0
21d,FEB,5.0000,312.9372,12.8120,326.5522,594.0000,387.3600,0
21d,2026,5.0000,295.4232,12.8120,310.9911,594.0000,387.3600,0
21d,to,5.0000,285.6931,12.8120,291.5312,594.0000,387.3600,0
21d,19,5.0000,274.0172,12.8120,281.8011,594.0000,387.3600,0
21d,MAR,5.0000,256.5172,12.8120,272.0712,594.0000,387.3600,0
21d,2026,5.0000,239.0032,12.8120,254.5712,594.0000,387.3600,0
21d,"NC-1,",374.2480,239.0000,382.0600,257.2770,594.0000,387.3600,0
21d,19,374.2480,261.1690,382.0600,268.9530,594.0000,387.3600,0
21d,FEB,374.2480,270.8990,382.0600,284.5140,594.0000,387.3600,0
21d,2026,374.2480,286.4600,382.0600,302.0280,594.0000,387.3600,0
21d,to,374.2480,305.9200,382.0600,311.7580,594.0000,387.3600,0
21d,19,374.2480,315.6500,382.0600,323.4340,594.0000,387.3600,0
21d,MAR,374.2480,325.3800,382.0600,340.9340,594.0000,387.3600,0
21d,2026,374.2480,342.8800,382.0600,358.4480,594.0000,387.3600,0
2r2,PILOTS,188.7418,363.7103,208.6701,369.9587,594.0000,387.3600,0
2r2,LOUNGE,210.1402,363.7103,234.3082,369.9587,594.0000,387.3600,0
2r2,86°28.0'W,291.9956,538.2464,320.4812,544.4949,594.0000,387.3600,0
2r2,86°28.5'W,89.3460,538.2464,117.8316,544.4949,594.0000,387.3600,0
2r2,39°44.5'N,330.7818,132.4655,359.2663,138.7139,594.0000,387.3600,0
2r2,39°45.0'N,330.7818,394.9339,359.2663,401.1823,594.0000,387.3600,0
2r2,S-125,174.8194,156.8183,191.8295,163.0668,594.0000,387.3600,0
2r2,RWY,157.0190,163.8437,172.3277,170.0922,594.0000,387.3600,0
2r2,18-36,173.9682,163.8437,189.2769,170.0922,594.0000,387.3600,0
2r2,REIL,226.5820,153.5036,240.4390,159.7520,594.0000,387.3600,0
2r2,Rwys,241.9981,153.5036,256.2043,159.7520,594.0000,387.3600,0
2r2,18,257.7634,153.5036,263.9996,159.7520,594.0000,387.3600,1
2r2,and,265.5587,153.5036,274.5639,159.7520,594.0000,387.3600,0
2r2,36,276.1230,153.5036,282.3593,159.7520,594.0000,387.3600,1
2r2,MIRL,226.5820,161.4658,241.7851,167.7142,594.0000,387.3600,0
2r2,Rwy,243.3054,161.4658,254.7929,167.7142,594.0000,387.3600,0
2r2,18-36,256.3132,161.4658,270.5007,167.7142,594.0000,387.3600,0
2r2,L,271.7041,162.1299,275.3072,166.9362,594.0000,387.3600,0
2r2,L,283.8158,154.7538,287.4189,159.5602,594.0000,387.3600,0
2r2,864,79.4231,91.1841,91.1938,97.4326,594.0000,387.3600,0
2r2,ELEV,78.3025,98.6779,91.7350,104.9264,594.0000,387.3600,0
2r2,946,168.0858,373.7019,179.8565,379.9503,594.0000,387.3600,0
2r2,A2,201.4714,415.0948,210.4647,421.3433,594.0000,387.3600,0
2r2,122.7,22.8217,519.1496,39.9065,525.3981,594.0000,387.3600,0
2r2,CTAF/UNICOM,22.8217,525.4506,64.4120,531.6990,594.0000,387.3600,0
2r2,118.025,22.8217,531.7517,46.9943,538.0001,594.0000,387.3600,0
2r2,AWOS-3PT,22.8217,538.0527,55.0919,544.3011,594.0000,387.3600,0
2r2,L,68.2515,526.2426,71.8546,531.0490,594.0000,387.3600,0
2r2,0.8%,104.3706,138.2791,110.7157,151.8642,594.0000,387.3600,0
2r2,UP,104.4772,153.2473,110.7883,162.0764,594.0000,387.3600,0
2r2,JANUARY,233.1619,448.8813,262.6298,455.1298,594.0000,387.3600,0
2r2,2025,264.2086,448.8813,276.8395,455.1298,594.0000,387.3600,0
2r2,ANNUAL,215.9525,441.3874,241.3604,447.6359,594.0000,387.3600,0
2r2,RATE,242.8652,441.3874,258.5819,447.6359,594.0000,387.3600,0
2r2,OF,260.0868,441.3874,267.7796,447.6359,594.0000,387.3600,0
2r2,CHANGE,269.2844,441.3874,294.3613,447.6359,594.0000,387.3600,0
2r2,0.0°,244.4608,433.8937,254.8627,440.1422,594.0000,387.3600,0
2r2,W,256.4388,433.8937,262.3900,440.1422,594.0000,387.3600,0
2r2,005.1°,88.2342,137.8546,94.6297,158.5256,594.0000,387.3600,0
2r2,185.1°,90.1329,465.4390,96.5284,486.1100,594.0000,387.3600,0
2r2,4400,87.2680,281.0480,93.5164,295.0269,594.0000,387.3600,0
2r2,X,87.2680,296.7743,93.5164,301.8206,594.0000,387.3600,0
2r2,100,87.2680,303.5680,93.5164,314.0522,594.0000,387.3600,0
2r2,FIELD,130.7482,521.5019,147.5535,528.7108,594.0000,387.3600,0
2r2,ELEV,131.6849,514.0800,147.1821,521.2890,594.0000,387.3600,0
2r2,898,132.6970,506.2620,146.2770,513.4709,594.0000,387.3600,0
2r2,(2R2),349.3636,558.4563,373.3257,567.1073,594.0000,387.3600,0
2r2,"INDIANAPOLIS,",284.2895,549.6516,337.0502,557.3422,594.0000,387.3600,0
2r2,INDIANA,338.8560,549.6516,369.7439,557.3422,594.0000,387.3600,0
2r2,"INDIANAPOLIS,",284.2895,35.1734,337.0412,42.8626,594.0000,387.3600,0
2r2,INDIANA,338.8468,35.1734,369.7294,42.8626,594.0000,387.3600,0
2r2,(2R2),349.3636,25.2433,373.3257,33.8943,594.0000,387.3600,0
2r2,AL-10352,170.5527,550.5748,199.8137,557.3035,594.0000,387.3600,0
2r2,(FAA),201.5697,550.5748,220.2950,557.3035,594.0000,387.3600,0
2r2,AIRPORT,18.0439,548.4369,69.5123,561.8943,594.0000,387.3600,0
2r2,DIAGRAM,72.5200,548.4369,129.9919,561.8943,594.0000,387.3600,0
2r2,AIRPORT,18.0439,29.6351,69.5123,43.0925,594.0000,387.3600,0
2r2,DIAGRAM,72.5200,29.6351,129.9919,43.0925,594.0000,387.3600,0
2r2,25107,18.0439,561.9567,36.9005,568.2051,594.0000,387.3600,0
2r2,25107,18.0439,24.4543,36.9017,30.7028,594.0000,387.3600,0
2r2,HENDRICKS,172.0746,558.4563,218.6515,567.1073,594.0000,387.3600,0
2r2,COUNTY-GORDON,220.6865,558.4563,292.1230,567.1073,594.0000,387.3600,0
2r2,GRAHAM,294.1580,558.4563,330.3321,567.1073,594.0000,387.3600,0
2r2,FLD,332.3671,558.4563,347.7435,567.1073,594.0000,387.3600,0
2r2,HENDRICKS,172.0746,25.2433,218.6515,33.8943,594.0000,387.3600,0
2r2,COUNTY-GORDON,220.6865,25.2433,292.1230,33.8943,594.0000,387.3600,0
2r2,GRAHAM,294.1580,25.2433,330.3321,33.8943,594.0000,387.3600,0
2r2,FLD,332.3671,25.2433,347.7435,33.8943,594.0000,387.3600,0
2r2,P,107.8605,472.9893,114.0165,478.8016,594.0000,387.3600,0
2r2,P,85.8370,113.4421,91.9895,119.2508,594.0000,387.3600,0
2r2,VAR,235.3025,489.8245,242.8126,500.7328,594.0000,387.3600,0
2r2,4.7°,238.3116,479.5613,245.9627,490.9290,594.0000,387.3600,0
2r2,W,242.1002,473.7309,247.7522,478.5856,594.0000,387.3600,0
2r2,A1,113.9833,482.3040,124.1268,488.5565,594.0000,387.3600,0
2r2,A2,149.2016,414.8569,159.3761,421.1877,594.0000,387.3600,0
2r2,A5,113.9858,293.5439,124.1380,299.8221,594.0000,387.3600,0
2r2,A,129.8636,144.1420,136.1120,148.8259,594.0000,387.3600,0
2r2,A7,113.9978,105.1291,125.0211,111.5378,594.0000,387.3600,0
2r2,A,130.6865,235.7807,136.9550,240.4908,594.0000,387.3600,0
2r2,A4,150.5787,336.0418,161.5741,342.4006,594.0000,387.3600,0
2r2,A3,149.1946,376.2264,159.3412,382.4823,594.0000,387.3600,0
2r2,A,131.0875,313.6698,137.3844,318.4193,594.0000,387.3600,0
2r2,A4,225.2878,335.8351,236.2832,342.1936,594.0000,387.3600,0
2r2,A3,201.4793,376.2223,211.6511,382.5481,594.0000,387.3600,0
2r2,A6,113.9898,191.5912,124.1590,197.9095,594.0000,387.3600,0
2r2,A,132.2385,458.2482,138.4870,462.9321,594.0000,387.3600,0
2r2,18,95.7806,489.7849,105.2791,496.1008,594.0000,387.3600,1
2r2,36,95.1780,97.9337,104.6765,104.2495,594.0000,387.3600,1
2r2,"EC-2,",5.0000,340.1729,12.8120,358.0649,594.0000,387.3600,0
2r2,19,5.0000,328.4969,12.8120,336.2809,594.0000,387.3600,0
2r2,FEB,5.0000,312.9359,12.8120,326.5509,594.0000,387.3600,0
2r2,2026,5.0000,295.4219,12.8120,310.9899,594.0000,387.3600,0
2r2,to,5.0000,285.6919,12.8120,291.5299,594.0000,387.3600,0
2r2,19,5.0000,274.0159,12.8120,281.7999,594.0000,387.3600,0
2r2,MAR,5.0000,256.5160,12.8120,272.0699,594.0000,387.3600,0
2r2,2026,5.0000,239.0020,12.8120,254.5699,594.0000,387.3600,0
2r2,"EC-2,",374.2480,239.0000,382.0600,256.8920,594.0000,387.3600,0
2r2,19,374.2480,260.7840,382.0600,268.5680,594.0000,387.3600,0
2r2,FEB,374.2480,270.5140,382.0600,284.1290,594.0000,387.3600,0
2r2,2026,374.2480,286.0750,382.0600,301.6430,594.0000,387.3600,0
2r2,to,374.2480,305.5350,382.0600,311.3730,594.0000,387.3600,0
2r2,19,374.2480,315.2650,382.0600,323.0490,594.0000,387.3600,0
2r2,MAR,374.2480,324.9950,382.0600,340.5490,594.0000,387.3600,0
2r2,2026,374.2480,342.4950,382.0600,358.0630,594.0000,387.3600,0
3t5,0.1°,260.2878,409.0380,270.6897,415.2864,594.0000,387.3600,0
3t5,W,272.2658,409.0380,278.2169,415.2864,594.0000,387.3600,0
3t5,ANNUAL,231.7795,415.3391,257.1874,421.5876,594.0000,387.3600,0
3t5,RATE,258.6923,415.3391,274.4089,421.5876,594.0000,387.3600,0
3t5,OF,275.9138,415.3391,283.6066,421.5876,594.0000,387.3600,0
3t5,CHANGE,285.1115,415.3391,310.1883,421.5876,594.0000,387.3600,0
3t5,JANUARY,248.9889,421.6401,278.4568,427.8885,594.0000,387.3600,0
3t5,2025,280.0356,421.6401,292.6665,427.8885,594.0000,387.3600,0
3t5,VAR,277.2207,448.3217,284.7307,459.2300,594.0000,387.3600,0
3t5,2.8°,280.6296,459.4279,288.2808,470.7958,594.0000,387.3600,0
3t5,E,284.0184,470.4691,289.6704,475.3236,594.0000,387.3600,0
3t5,34,203.6137,122.9418,214.8979,131.8719,594.0000,387.3600,1
3t5,16,91.4793,464.1079,102.7630,473.0482,594.0000,387.3600,1
3t5,5000,118.3157,349.3614,128.8825,365.8431,594.0000,387.3600,0
3t5,X,123.1152,344.2937,130.4824,350.6399,594.0000,387.3600,0
3t5,75,124.7075,335.8711,133.1412,345.5958,594.0000,387.3600,0
3t5,AIRPORT,18.1160,550.3825,69.5844,563.8399,594.0000,387.3600,0
3t5,DIAGRAM,72.5921,550.3825,130.0640,563.8399,594.0000,387.3600,0
3t5,AIRPORT,18.1160,27.6896,69.5844,41.1470,594.0000,387.3600,0
3t5,DIAGRAM,72.5921,27.6896,130.0640,41.1470,594.0000,387.3600,0
3t5,LA,315.2021,34.6125,323.0388,40.8596,594.0000,387.3600,0
3t5,"GRANGE,",324.5086,34.6125,350.4704,40.8596,594.0000,387.3600,0
3t5,TEXAS,351.9402,34.6125,370.8824,40.8596,594.0000,387.3600,0
3t5,LA,315.2021,551.9013,323.0388,558.1484,594.0000,387.3600,0
3t5,"GRANGE,",324.5086,551.9013,350.4704,558.1484,594.0000,387.3600,0
3t5,TEXAS,351.9402,551.9013,370.8824,558.1484,594.0000,387.3600,0
3t5,AL-9154,173.9727,550.6763,197.7210,556.9234,594.0000,387.3600,0
3t5,(FAA),199.3405,550.6763,216.6108,556.9234,594.0000,387.3600,0
3t5,FIELD,161.5791,119.9402,178.3844,127.1491,594.0000,387.3600,0
3t5,ELEV,162.5159,112.5184,178.0131,119.7273,594.0000,387.3600,0
3t5,324,164.6055,105.8037,176.3736,112.0508,594.0000,387.3600,0
3t5,ELEV,70.4285,475.0898,83.8581,481.3369,594.0000,387.3600,0
3t5,308,71.4260,468.1724,83.0312,474.4195,594.0000,387.3600,0
3t5,TERMINAL,210.3609,299.0574,240.1175,305.3045,594.0000,387.3600,0
3t5,MAINTENANCE,218.8635,336.0220,263.2734,342.2691,594.0000,387.3600,0
3t5,HANGARS,224.1236,328.8885,254.4812,335.1356,594.0000,387.3600,0
3t5,A,120.1898,436.4530,127.5616,442.8077,594.0000,387.3600,0
3t5,A,142.6713,366.3426,150.0431,372.6974,594.0000,387.3600,0
3t5,A,180.0679,250.9802,187.4413,257.3363,594.0000,387.3600,0
3t5,A,106.6862,462.9810,114.6270,470.9030,594.0000,387.3600,0
3t5,C,163.2106,283.8472,171.1382,291.7460,594.0000,387.3600,0
3t5,B,148.7994,328.6660,156.7270,336.5648,594.0000,387.3600,0
3t5,D,191.5285,194.7863,199.4560,202.6854,594.0000,387.3600,0
3t5,29°,293.1531,514.9366,302.9874,521.1837,594.0000,387.3600,0
3t5,55',304.7435,514.9366,313.0324,521.1837,594.0000,387.3600,0
3t5,N,314.7885,514.9366,319.8602,521.1837,594.0000,387.3600,0
3t5,29°,293.9457,304.6777,303.7938,310.9248,594.0000,387.3600,0
3t5,54.5',305.5524,304.6777,319.1287,310.9248,594.0000,387.3600,0
3t5,N,320.8872,304.6777,325.9660,310.9248,594.0000,387.3600,0
3t5,29°,297.2602,93.6262,307.0945,99.8733,594.0000,387.3600,0
3t5,54',308.8506,93.6262,317.1395,99.8733,594.0000,387.3600,0
3t5,N,318.8956,93.6262,323.9673,99.8733,594.0000,387.3600,0
3t5,96°56.5',323.1282,59.5438,345.3954,65.7909,594.0000,387.3600,0
3t5,W,347.0671,59.5438,353.3795,65.7909,594.0000,387.3600,0
3t5,96°57',143.2770,59.6159,160.3249,65.8630,594.0000,387.3600,0
3t5,W,161.9769,59.6159,168.2145,65.8630,594.0000,387.3600,0
3t5,RWY,30.7978,184.2725,46.1032,190.5196,594.0000,387.3600,0
3t5,16-34,47.7434,184.2725,63.0488,190.5196,594.0000,387.3600,0
3t5,S-30,46.7222,177.5713,60.2737,183.8184,594.0000,387.3600,0
3t5,HANGARS,223.6912,280.1067,254.0488,286.3538,594.0000,387.3600,0
3t5,121.725,23.8084,504.7047,47.9758,510.9518,594.0000,387.3600,0
3t5,GCO,23.8084,511.1894,37.3262,517.4379,594.0000,387.3600,0
3t5,122.7,23.8084,517.6744,40.8932,523.9229,594.0000,387.3600,0
3t5,CTAF/UNICOM,23.8084,524.1598,65.3898,530.4069,594.0000,387.3600,0
3t5,124.175,23.8084,530.6448,47.9758,536.8919,594.0000,387.3600,0
3t5,AWOS-3,23.8084,537.1295,51.1895,543.3779,594.0000,387.3600,0
3t5,25107,18.1160,565.0154,36.9698,571.2625,594.0000,387.3600,0
3t5,25107,18.1160,21.4263,36.9698,27.6734,594.0000,387.3600,0
3t5,159.7°,90.5021,434.4370,102.6683,455.9850,594.0000,387.3600,0
3t5,339.7°,186.4805,131.6599,198.6462,153.2064,594.0000,387.3600,0
3t5,FAYETTE,241.6951,25.2073,275.8518,33.8583,594.0000,387.3600,0
3t5,RGNL,277.7733,25.2073,298.6947,33.8583,594.0000,387.3600,0
3t5,AIR,300.6162,25.2073,313.8516,33.8583,594.0000,387.3600,0
3t5,CENTER,315.7731,25.2073,345.6641,33.8583,594.0000,387.3600,0
3t5,(3T5),350.0213,25.2072,373.4791,33.8582,594.0000,387.3600,0
3t5,FAYETTE,243.0642,558.4204,277.2209,567.0714,594.0000,387.3600,0
3t5,RGNL,279.1424,558.4204,300.0638,567.0714,594.0000,387.3600,0
3t5,AIR,301.9853,558.4204,315.2206,567.0714,594.0000,387.3600,0
3t5,CENTER,317.1422,558.4204,347.0331,567.0714,594.0000,387.3600,0
3t5,(3T5),350.0213,558.4202,373.4791,567.0712,594.0000,387.3600,0
3t5,"SC-5,",5.0000,340.1729,12.8120,358.0649,594.0000,387.3600,0
3t5,19,5.0000,328.4969,12.8120,336.2809,594.0000,387.3600,0
3t5,FEB,5.0000,312.9359,12.8120,326.5509,594.0000,387.3600,0
3t5,2026,5.0000,295.4219,12.8120,310.9899,594.0000,387.3600,0
3t5,to,5.0000,285.6919,12.8120,291.5299,594.0000,387.3600,0
3t5,19,5.0000,274.0159,12.8120,281.7999,594.0000,387.3600,0
3t5,MAR,5.0000,256.5160,12.8120,272.0699,594.0000,387.3600,0
3t5,2026,5.0000,239.0020,12.8120,254.5699,594.0000,387.3600,0
3t5,"SC-5,",374.2480,239.0000,382.0600,256.8920,594.0000,387.3600,0
3t5,19,374.2480,260.7840,382.0600,268.5680,594.0000,387.3600,0
3t5,FEB,374.2480,270.5140,382.0600,284.1290,594.0000,387.3600,0
3t5,2026,374.2480,286.0750,382.0600,301.6430,594.0000,387.3600,0
3t5,to,374.2480,305.5350,382.0600,311.3730,594.0000,387.3600,0
3t5,19,374.2480,315.2650,382.0600,323.0490,594.0000,387.3600,0
3t5,MAR,374.2480,324.9950,382.0600,340.5490,594.0000,387.3600,0
3t5,2026,374.2480,342.4950,382.0600,358.0630,594.0000,387.3600,0
5b2,(5B2),349.7925,558.4563,373.3264,567.1073,594.0000,387.3600,0
5b2,SARATOGA,254.5629,549.6516,294.8326,557.3422,594.0000,387.3600,0
5b2,"SPRINGS,",296.6819,549.6516,328.9479,557.3422,594.0000,387.3600,0
5b2,NEW,330.7972,549.6516,347.6404,557.3422,594.0000,387.3600,0
5b2,YORK,349.4896,549.6516,370.4456,557.3422,594.0000,387.3600,0
5b2,SARATOGA,254.5629,35.1734,294.8255,42.8626,594.0000,387.3600,0
5b2,"SPRINGS,",296.6745,35.1734,328.9349,42.8626,594.0000,387.3600,0
5b2,NEW,330.7838,35.1734,347.6240,42.8626,594.0000,387.3600,0
5b2,YORK,349.4730,35.1734,370.4252,42.8626,594.0000,387.3600,0
5b2,(5B2),349.7925,25.2433,373.3264,33.8943,594.0000,387.3600,0
5b2,AL-5816,172.4604,550.5748,198.0394,557.3035,594.0000,387.3600,0
5b2,(FAA),199.7837,550.5748,218.3854,557.3035,594.0000,387.3600,0
5b2,AIRPORT,18.0439,548.4369,69.5123,561.8943,594.0000,387.3600,0
